TransactionId,CustomerId,Amount,TransactionStartTime,ProductCategory,ChannelId,CountryCode,FraudResult,Value
1000,151,181.89,2024-01-18 17:00:00,Electronics,Web,1,0,181.89
1001,192,135.66,2024-01-30 01:00:00,Books,Pay Later,3,0,135.66
1002,114,165.41,2024-01-05 00:00:00,Electronics,Pay Later,1,0,165.41
1003,171,42.17,2024-02-11 19:00:00,Books,IOS,2,0,42.17
1004,160,164.22,2024-01-05 17:00:00,Clothing,Android,1,0,164.22
1005,120,160.89,2024-03-25 14:00:00,Electronics,Web,2,0,160.89
1006,182,124.51,2024-03-24 07:00:00,Groceries,Web,3,0,124.51
1007,186,46.3,2024-01-31 11:00:00,Electronics,Android,1,0,46.3
1008,174,139.36,2024-01-21 11:00:00,Electronics,IOS,3,0,139.36
1009,174,148.13,2024-03-30 00:00:00,Electronics,Pay Later,3,0,148.13
1010,187,131.64,2024-01-26 03:00:00,Groceries,IOS,3,0,131.64
1011,199,58.19,2024-02-09 00:00:00,Clothing,Android,3,1,58.19
1012,123,229.74,2024-02-28 14:00:00,Electronics,Web,1,0,229.74
1013,102,118.06,2024-01-01 10:00:00,Electronics,Pay Later,1,1,118.06
1014,121,138.89,2024-02-24 01:00:00,Clothing,Android,3,0,138.89
1015,152,29.53,2024-03-05 11:00:00,Electronics,Web,3,0,29.53
1016,101,229.74,2024-01-16 21:00:00,Electronics,IOS,2,0,229.74
1017,187,126.67,2024-01-22 09:00:00,Electronics,Pay Later,3,0,126.67
1018,129,154.92,2024-01-18 14:00:00,Clothing,Web,2,0,154.92
1019,137,206.04,2024-03-21 09:00:00,Electronics,Web,2,0,206.04
1020,101,116.18,2024-02-27 20:00:00,Clothing,Web,3,0,116.18
1021,163,198.16,2024-03-20 05:00:00,Clothing,Web,1,0,198.16
1022,159,46.93,2024-03-07 08:00:00,Books,Web,2,0,46.93
1023,120,177.55,2024-02-12 20:00:00,Groceries,IOS,1,0,177.55
1024,132,228.61,2024-03-17 17:00:00,Clothing,Android,3,0,228.61
1025,175,120.98,2024-02-27 21:00:00,Groceries,Pay Later,3,0,120.98
1026,157,205.94,2024-02-29 23:00:00,Books,IOS,3,0,205.94
1027,121,241.7,2024-01-27 21:00:00,Clothing,Pay Later,3,0,241.7
1028,188,137.26,2024-03-08 21:00:00,Clothing,Web,2,0,137.26
1029,148,133.12,2024-01-24 07:00:00,Electronics,Android,2,0,133.12
1030,190,105.09,2024-03-14 01:00:00,Groceries,Web,1,0,105.09
1031,158,124.51,2024-02-09 05:00:00,Electronics,IOS,1,0,124.51
1032,141,109.23,2024-01-18 16:00:00,Electronics,IOS,2,0,109.23
1033,191,105.04,2024-03-27 13:00:00,Clothing,Pay Later,3,0,105.04
1034,159,209.94,2024-01-30 20:00:00,Groceries,Web,1,0,209.94
1035,179,110.5,2024-03-02 09:00:00,Clothing,Web,2,0,110.5
1036,114,162.93,2024-01-13 11:00:00,Groceries,Android,1,0,162.93
1037,161,151.91,2024-01-09 03:00:00,Groceries,Android,2,0,151.91
1038,161,224.9,2024-02-08 23:00:00,Clothing,Web,3,0,224.9
1039,146,124.84,2024-02-03 06:00:00,Clothing,Pay Later,2,0,124.84
1040,161,169.06,2024-03-01 08:00:00,Clothing,Android,1,0,169.06
1041,150,189.55,2024-01-05 14:00:00,Books,Web,2,0,189.55
1042,154,224.49,2024-02-19 03:00:00,Groceries,Web,1,0,224.49
1043,163,124.11,2024-02-20 19:00:00,Books,Web,1,0,124.11
1044,102,119.11,2024-02-08 07:00:00,Electronics,IOS,1,0,119.11
1045,150,96.91,2024-02-14 23:00:00,Electronics,Pay Later,3,0,96.91
1046,106,261.81,2024-01-28 22:00:00,Electronics,Web,3,0,261.81
1047,120,219.22,2024-01-27 00:00:00,Clothing,Web,2,0,219.22
1048,172,147.89,2024-02-03 16:00:00,Groceries,Web,2,0,147.89
1049,138,246.57,2024-03-02 05:00:00,Electronics,Android,1,0,246.57
1050,117,144.91,2024-01-26 23:00:00,Electronics,Web,3,0,144.91
1051,103,186.22,2024-02-08 20:00:00,Electronics,IOS,2,0,186.22
1052,188,150.51,2024-02-16 18:00:00,Clothing,IOS,2,0,150.51
1053,159,169.89,2024-02-17 12:00:00,Electronics,Pay Later,3,0,169.89
1054,113,164.59,2024-01-03 02:00:00,Electronics,Web,1,0,164.59
1055,108,128.75,2024-01-19 13:00:00,Groceries,Web,2,0,128.75
1056,189,204.62,2024-02-17 21:00:00,Electronics,Web,1,0,204.62
1057,152,185.8,2024-03-21 03:00:00,Clothing,IOS,3,0,185.8
1058,101,201.38,2024-02-14 07:00:00,Clothing,Android,3,0,201.38
1059,183,166.01,2024-01-19 04:00:00,Groceries,Android,2,0,166.01
1060,191,104.67,2024-03-06 14:00:00,Electronics,Web,2,0,104.67
1061,159,235.47,2024-03-06 10:00:00,Books,Android,3,0,235.47
1062,170,136.87,2024-02-14 22:00:00,Clothing,Pay Later,1,0,136.87
1063,143,168.2,2024-03-14 02:00:00,Electronics,IOS,1,0,168.2
